SERIALNUMBER,SOCS1REPAIRCODE,SOCS2COMPONENTCODE,SOCS3DEFECT_CODE,NR_INTERVENTION
507290515,Part Replaced,PILOT LIGHT / LED,"Misoperating (component, module)",1
151507001687,Part Replaced,"MOTOR-FAN, COOLING",Mechanically misaligned,1
151615000539,Part Replaced,POWER BOARD,"Loose, off, stripped",1
370646701409,Part Replaced,IGNITION - SWITCH,Worn out (or general mechanical defect),1
209202208,Part Replaced,TRANSFORMER,Burnt,1
Not assigned,Mechanical alignments,USER BOARD,"Bad contact, connection",1
1260326,Part Replaced,HEATING ELEMENT (GENERIC/FORCED AIR/DEFR,"Misoperating (component, module)",1
402240072,Product exchange proposal,PERFORMANCE COMPLAINT,Unable to diagnose fault,1
371047700173,Part Replaced,HEATING ELEMENT RADIANT,"Incorrect wired, assembled",1
151708006445,Product Installation,NEW APPLIANCE,No problem found,1
370947701257,Part Replaced,USER BOARD,"Cut, broken, split, torn",1
421532011664,Part Replaced,TURNTABLE MOTOR,Short circuit,1
151627001273,Software correction / upgrade / reset,POWER BOARD,Software problem,1
999999999,Lubrication,USER BOARD,"Bad contact, connection",1
421616008508,Part Replaced,INSULATION,"Cut, broken, split, torn",1
151538004046,Part Replaced,DOOR / LID,"Misoperating (component, module)",1
151707001874,Part Replaced,TURNTABLE MOTOR,"Misoperating (component, module)",1
608032173,Mechanical alignments,PERFORMANCE COMPLAINT,Unable to diagnose fault,1
611021154,Product Installation,NEW APPLIANCE,"Misoperating (component, module)",1
504301480,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
603241537,Part Replaced,CABINET,"Scratched, dented, sharp edges",1
603241611,Part Replaced,CABINET,"Scratched, dented, sharp edges",1
412124326,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
409047171,Part Replaced,USER BOARD,Open circuit,1
610101062,Preventive action,INSTRUCTION FOR USE,No problem found,1
151540003008,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
151621004478,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
151612005579,Part Replaced,CONTROL PANEL,"Cut, broken, split, torn",1
151535005648,Product Installation,NEW APPLIANCE,Deformed,1
151635007594,Electrical alignment / wiring / Resolder,WIRING,Foreign object,1
601120095,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Unable to diagnose fault,1
151634009025,Product exchange proposal,CABINET,"Snapped, stuck, jammed",1
371414003475,Part Replaced,TRIM,"Scratched, dented, sharp edges",1
511050377,Mechanical alignments,"MOTOR-FAN, CIRCULATION","Incorrect wired, assembled",1
151547008404,Mechanical alignments,THERMOSTAT,"Blocked, clogged",1
151540000238,Part Replaced,DOOR,Deformed,1
151610001908,Product exchange proposal,CABINET,Deformed,1
151602001585,Product exchange proposal,POWER BOARD,Software problem,1
151552004525,Product exchange proposal,INNER-LINER-CAVITY-TUB,"Scratched, dented, sharp edges",1
151535011543,Product Installation,NEW APPLIANCE,No problem found,1
601190110,Maintenance / Cleaning,INSTRUCTION FOR USE,"Dirty, clogged",1
151712002160,Product Installation,NEW APPLIANCE,Installation fault,1
371307700516,Product Installation,NEW APPLIANCE,No problem found,1
151617005264,Product exchange proposal,USER BOARD,"Electrically misaligned, wrong setting",1
371324300846,Part Replaced,MAGNETRON,"Blocked, clogged",1
309121274,Part Replaced,INNER DOOR-GLASS,"Cut, broken, split, torn",1
151629004749,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
999999999,Part Replaced,OTHERS MECHANICAL,"Cut, broken, split, torn",1
151705001879,Product Installation,NEW APPLIANCE,No problem found,1
371412010853,Product exchange proposal,CABINET,Deformed,1
151446004657,Product exchange proposal,POWER BOARD,Unable to diagnose fault,1
151610000182,Electrical alignment / wiring / Resolder,CONTROL BOARD / SENSOR BOARD,"Incorrect wired, assembled",1
601120189,Functional check,MAINS ON / OFF-SWITCH,"Misoperating (component, module)",1
151712008243,Product Installation,OTHERS ELECTRICAL,Software problem,1
151626002427,Mechanical alignments,HINGES,"Misoperating (component, module)",1
371209304269,Electrical alignment / wiring / Resolder,CONTROL BOARD / SENSOR BOARD,"Incorrect wired, assembled",1
151703000406,Mechanical alignments,PERFORMANCE COMPLAINT,Vibrating,1
371127700478,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
Not assigned,Mechanical alignments,"CAP, PUSHBUTTON",Unable to diagnose fault,1
151707007956,Part Replaced,PERFORMANCE COMPLAINT,Deformed,1
371402003522,Mechanical alignments,WIRING,Tight,1
999999999,Electrical alignment / wiring / Resolder,MAINS LEAD / CORD,Open circuit,1
412041039,Functional check,OTHERS ELECTRICAL,No problem found,1
151509006651,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
608180392,Electrical alignment / wiring / Resolder,WIRING,"Incorrect wired, assembled",1
421630001744,Mechanical alignments,HOOK / DOOR-LATCH,"Blocked, clogged",1
609100720,Preventive action,DOOR LOCK,"Incorrect wired, assembled",1
151642001162,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
809261567,Part Replaced,DOOR,Faulty mains voltage,1
371426011572,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
371221303339,Preventive action,PERFORMANCE COMPLAINT,No problem found,1
151651002105,Repaired component,POWER BOARD,"Misoperating (component, module)",1
999999999,Repaired component,POWER BOARD,"Misoperating (component, module)",1
508030025,Repaired component,DOOR,"Loose, off, stripped",1
151552002205,Part Replaced,CONTROL PANEL,"Scratched, dented, sharp edges",1
507290822,Product exchange proposal,POWER BOARD,"Misoperating (component, module)",1
151706000299,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
702121292,Product Installation,NEW APPLIANCE,No problem found,1
702238965,Product Installation,NEW APPLIANCE,"Cut, broken, split, torn",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151702005157,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
603020074,Product exchange proposal,INNER DOOR-GLASS,Worn out (or general mechanical defect),1
151641003819,Part Replaced,DOOR-GLASS,"Scratched, dented, sharp edges",1
151545000806,Preventive action,DOOR,"Loose, off, stripped",1
151445003945,Preventive action,THERMOSTAT,"Incorrect wired, assembled",1
151520002731,Part Replaced,"CAP, PUSHBUTTON","Misoperating (component, module)",1
151602006221,Repaired component,OTHERS ELECTRICAL,"Incorrect wired, assembled",1
151708000328,Part Replaced,DOOR-GLASS,"Scratched, dented, sharp edges",1
151536007292,Functional check,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Part Replaced,OTHERS MECHANICAL,"Misoperating (component, module)",1
151305004646,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
151648008195,Part Replaced,"MOTOR-FAN, COOLING",Mechanically misaligned,1
999999999,Product Installation,NEW APPLIANCE,Unable to diagnose fault,1
701100172,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Product Installation,NEW APPLIANCE,"Misoperating (component, module)",1
511050325,Part Replaced,"FRAME, DOOR-GLASS (OUTER)","Scratched, dented, sharp edges",1
151609002327,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
370725303470,Mechanical alignments,POWER BOARD,Unable to diagnose fault,1
151707002549,Mechanical alignments,"MOTOR-FAN, COOLING",Vibrating,1
371150700443,Functional check,INSTRUCTION FOR USE,No problem found,1
501060118,Repaired component,TURNTABLE MOTOR,"Loose, off, stripped",1
151614006718,Functional check,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
151647001885,Functional check,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
150715001308,Product Installation,USER BOARD,Mechanically misaligned,1
371435700724,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
412050217,Mechanical alignments,TURNTABLE MOTOR,"Incorrect wired, assembled",1
702100047,Part Replaced,MAGNETRON,"Cut, broken, split, torn",1
421532011502,Functional check,FUSE,"Misoperating (component, module)",1
999999999,Part Replaced,STOPPER-SPACER-CAP-COVER,"Misoperating (component, module)",1
371210700599,Part Replaced,MAGNETRON,Burnt,1
151705001877,Software correction / upgrade / reset,CONTROL BOARD / SENSOR BOARD,Software problem,1
702121482,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151712008238,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Part Replaced,CAPACITOR,"Cut, broken, split, torn",1
151706005988,Mechanical alignments,INSTRUCTION FOR USE,Noisy,1
371121700579,Mechanical alignments,"MOTOR-FAN, COOLING","Loose, off, stripped",1
371338009116,Product exchange proposal,CABINET,"Misoperating (component, module)",1
151708000271,Mechanical alignments,DOOR / LID,"Bad contact, connection",1
151702000412,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
151703003975,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
151522008965,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151701000513,Part Replaced,DOOR,"Cut, broken, split, torn",1
612126355,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
606230270,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
501140332,Part Replaced,"PANEL, FRONT","Cut, broken, split, torn",1
501140334,Part Replaced,POWER BOARD,"Cut, broken, split, torn",1
371424001622,Part Replaced,USER BOARD,"Misoperating (component, module)",1
601190376,Product exchange proposal,DOOR,"Misoperating (component, module)",1
421503003511,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Incorrect wired, assembled",1
151634002179,Product exchange proposal,INNER-LINER-CAVITY-TUB,"Cut, broken, split, torn",1
371335004875,Electrical alignment / wiring / Resolder,HOOK / DOOR-LATCH,"Incorrect wired, assembled",1
601120225,Part Replaced,"FRAME, DOOR-GLASS (OUTER)","Scratched, dented, sharp edges",1
371240303605,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
371232701577,Part Replaced,OTHERS MECHANICAL,"Cut, broken, split, torn",1
221518000003,Product exchange proposal,OTHERS MECHANICAL,"Misoperating (component, module)",1
603020413,Product exchange proposal,OTHERS MECHANICAL,"Misoperating (component, module)",1
370911701357,Part Replaced,HOOK / DOOR-LATCH,Faulty mains voltage,1
371126700105,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
151618006283,Product exchange proposal,USER BOARD,Software problem,1
371206700494,Part Replaced,DOOR LOCK,"Misoperating (component, module)",1
999999999,Electrical alignment / wiring / Resolder,POWER BOARD,"Bad contact, connection",1
371434006692,Part Replaced,USER BOARD,Burnt,1
601190118,Part Replaced,FRAME,Deformed,1
604050188,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,"Electrically misaligned, wrong setting",1
999999999,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Blocked, clogged",1
151530000020,Part Replaced,POWER BOARD,Burnt,1
151618006872,Mechanical alignments,OTHERS MECHANICAL,"Incorrect wired, assembled",1
151635007602,Repaired component,CONNECTOR / PLUG,"Bad contact, connection",1
999999999,Product Installation,NEW APPLIANCE,"Incorrect wired, assembled",1
410166090,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
371004700090,Part Replaced,POWER BOARD,Worn out (or general mechanical defect),1
999999999,Functional check,GENERATOR,"Misoperating (component, module)",1
508031248,Product exchange proposal,DOOR,"Misoperating (component, module)",1
701100295,Part Replaced,DOOR / LID,Faulty mains voltage,1
370547701091,Part Replaced,MAGNETRON,"Cut, broken, split, torn",1
151636004454,Part Replaced,DOOR,Deformed,1
601190482,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
610250204,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
604160014,Product exchange proposal,DOOR,"Cut, broken, split, torn",1
999999999,Product Installation,CABINET,"Loose, off, stripped",1
370611701572,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Open circuit,1
308130025,Product exchange proposal,DOOR,"Cut, broken, split, torn",1
151602000453,Part Replaced,POWER BOARD,Burnt,1
371417000290,Part Replaced,DOOR,Deformed,1
151610008337,Product exchange proposal,CABINET,Deformed,1
421503003511,Product exchange proposal,"PANEL, FRONT","Scratched, dented, sharp edges",1
512030558,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
999999999,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
151442007139,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Electrically misaligned, wrong setting",1
371106700247,Part Replaced,CONTROL BOARD / SENSOR BOARD,Software problem,1
151627006426,Mechanical alignments,CONTROL BOARD / SENSOR BOARD,Unable to diagnose fault,1
507122019,Part Replaced,DOOR,"Incorrect wired, assembled",1
604050655,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
371207701539,Part Replaced,POWER BOARD,"Scratched, dented, sharp edges",1
371207701459,Functional check,HEATING ELEMENT / INDUCTION MODULE,"Misoperating (component, module)",1
371142700990,Mechanical alignments,MAGNETRON,"Incorrect wired, assembled",1
999999999,Part Replaced,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
410200140,Product exchange proposal,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
371250304403,Part Replaced,DOOR,"Misoperating (component, module)",1
407032191,Part Replaced,USER BOARD,Software problem,1
512030426,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Blocked, clogged",1
371342001019,Part Replaced,DISPLAY,Software problem,1
701100242,Part Replaced,OTHERS MECHANICAL,Software problem,1
604051192,Product exchange proposal,USER BOARD,"Misoperating (component, module)",1
701097332,Product exchange proposal,DOOR,Deformed,1
608180731,Part Replaced,INNER-DOOR,"Scratched, dented, sharp edges",1
151608007667,Part Replaced,DOOR,"Cut, broken, split, torn",1
151603007119,Part Replaced,USER BOARD,"Misoperating (component, module)",1
151648001728,Part Replaced,CONDENSER UNIT,Short circuit,1
151637010245,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
510130052,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
Not assigned,Product Installation,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151635005918,Product exchange proposal,CABINET,Deformed,1
371136700744,Part Replaced,CONTROL BOARD / SENSOR BOARD,Burnt,1
151607009057,Preventive action,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
503150732,Mechanical alignments,MAGNETRON,Mechanically misaligned,1
409162135,Part Replaced,OTHERS MECHANICAL,"Scratched, dented, sharp edges",1
604050595,Part Replaced,CERAMIC / MICA / ASBESTOS-COVER,"Dirty, clogged",1
999999999,Repaired component,PILOT LIGHT / LED,"Incorrect wired, assembled",1
608180097,Part Replaced,POWER BOARD,Burnt,1
151623001177,Part Replaced,"MOTOR-FAN, CIRCULATION",Corroded,1
151518003792,Part Replaced,DOOR,Deformed,1
151618001706,Electrical alignment / wiring / Resolder,GENERATOR,"Cut, broken, split, torn",1
151448007961,Part Replaced,"CAP, PUSHBUTTON",Worn out (or general mechanical defect),1
702120300,Product Installation,NEW APPLIANCE,"Scratched, dented, sharp edges",1
371217305425,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151612002548,Part Replaced,POWER BOARD,Burnt,1
371210302469,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Bad contact, connection",1
702121488,Product Installation,NEW APPLIANCE,No problem found,1
371423009930,Part Replaced,USER BOARD,"Scratched, dented, sharp edges",1
151638003907,Preventive action,CONTROL BOARD / SENSOR BOARD,"Loose, off, stripped",1
151609001587,Maintenance / Cleaning,CONTROL BOARD / SENSOR BOARD,"Bad contact, connection",1
608180461,Product exchange proposal,INNER-LINER-CAVITY-TUB,"Scratched, dented, sharp edges",1
151712001339,Part Replaced,ACCESSORIES,"Cut, broken, split, torn",1
151512004737,Part Replaced,DOOR,"Wet, umid, condensation, sweating",1
371425007109,Part Replaced,DOOR / LID,"Misoperating (component, module)",1
112080227,Part Replaced,TRANSFORMER,Short circuit,1
371112702841,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
371209301018,Product exchange proposal,POWER BOARD,"Misoperating (component, module)",1
371217303732,Part Replaced,HEATING ELEMENT RADIANT,Burnt,1
151627002995,Part Replaced,"CAP, PUSHBUTTON","Blocked, clogged",1
999999999,Electrical alignment / wiring / Resolder,DOOR LOCK,"Bad contact, connection",1
701110087,Mechanical alignments,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
603040607,Electrical alignment / wiring / Resolder,WIRING,Open circuit,1
999999999,Part Replaced,PILOT LIGHT / LED,"Misoperating (component, module)",1
222222,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151539009037,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
501050130,Part Replaced,MAGNETRON,"Scratched, dented, sharp edges",1
151617002199,Functional check,USER BOARD,"Misoperating (component, module)",1
507080308,Electrical alignment / wiring / Resolder,GENERATOR,"Electrically misaligned, wrong setting",1
371412010853,Product Installation,CONTROL BOARD / SENSOR BOARD,Short circuit,1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
609095164,Product exchange proposal,"FRAME, DOOR-GLASS (INNER)","Cut, broken, split, torn",1
421436015421,Part Replaced,MAGNETRON,"Bad contact, connection",1
151636008251,Mechanical alignments,"CAP, PUSHBUTTON",Tight,1
371211701904,Part Replaced,STEP SWITCH,"Misoperating (component, module)",1
151506006770,Part Replaced,POWER BOARD,"Electrically misaligned, wrong setting",1
151637000077,Mechanical alignments,REED-CONTACT,"Incorrect wired, assembled",1
610200101,Part Replaced,"MOTOR-FAN, COOLING","Misoperating (component, module)",1
371421018988,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
511050147,Preventive action,"CAP, PUSHBUTTON","Incorrect wired, assembled",1
151506001685,Preventive action,MAINS LEAD / CORD,"Loose, off, stripped",1
370817300394,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
605270395,Added,ACCESSORIES,Unable to diagnose fault,1
999999999,Part Replaced,CONTROL BOARD / SENSOR BOARD,Open circuit,1
506011234,Product Installation,CABINET,"Misoperating (component, module)",1
608180187,Product exchange proposal,OTHERS MECHANICAL,"Scratched, dented, sharp edges",1
151615009507,Repaired component,"MOTOR-FAN, COOLING",Vibrating,1
371018702230,Part Replaced,"CAP, PUSHBUTTON","Scratched, dented, sharp edges",1
611070479,Part Replaced,TURNTABLE MOTOR,"Cut, broken, split, torn",1
370733701324,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151619003086,Electrical alignment / wiring / Resolder,OTHERS ELECTRICAL,Faulty mains voltage,1
371248702188,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Product Installation,NEW APPLIANCE,"Misoperating (component, module)",1
603241607,Explanation for customer  (IFU),INSTRUCTION FOR USE,No problem found,1
999999999,Part Replaced,ACCESSORIES,"Cut, broken, split, torn",1
371022701385,Part Replaced,POWER BOARD,Unable to diagnose fault,1
701100130,Mechanical alignments,NEW APPLIANCE,Unable to diagnose fault,1
151618005141,Mechanical alignments,POWER BOARD,"Incorrect wired, assembled",1
151406005908,Product Installation,NEW APPLIANCE,No problem found,1
151640000603,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Short circuit,1
Not assigned,Mechanical alignments,MAINS LEAD / CORD,"Bad contact, connection",1
412114778,Product exchange proposal,CONTROL BOARD / SENSOR BOARD,Burnt,1
151647002992,Part Replaced,CROSSPIECE / BEARING-HOUSING,Deformed,1
151546000757,Electrical alignment / wiring / Resolder,USER BOARD,"Bad contact, connection",1
151604009861,Mechanical alignments,DOORSWITCH,"Loose, off, stripped",1
406080284,Part Replaced,TRANSFORMER,"Misoperating (component, module)",1
510280007,Preventive action,KNOB,"Loose, off, stripped",1
508031151,Mechanical alignments,WIRING,"Loose, off, stripped",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151549004654,Product Installation,OTHERS ELECTRICAL,Unable to diagnose fault,1
603080131,Product exchange proposal,OTHERS MECHANICAL,"Scratched, dented, sharp edges",1
371119701779,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
702110512,Part Replaced,DISPLAY,Software problem,1
151602004659,Part Replaced,DOOR / LID,"Scratched, dented, sharp edges",1
151705005043,Mechanical alignments,INNER DOOR-GLASS,"Cut, broken, split, torn",1
311263849,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151642001170,Repaired component,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
371437001792,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
303150422,Part Replaced,OTHERS ELECTRICAL,"Electrically misaligned, wrong setting",1
608252813,Part Replaced,"PANEL, FRONT","Misoperating (component, module)",1
371245700914,Part Replaced,POTENTIOMETER,"Misoperating (component, module)",1
402215478,Product Installation,NEW APPLIANCE,No problem found,1
602100038,Electrical alignment / wiring / Resolder,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
999999999,Product Installation,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
151648001025,Part Replaced,TURNTABLE MOTOR,"Blocked, clogged",1
Not assigned,Preventive action,WIRING,"Incorrect wired, assembled",1
412250053,Part Replaced,USER BOARD,Burnt,1
604050280,Part Replaced,DOOR-GLASS,"Scratched, dented, sharp edges",1
151535011538,Product Installation,NEW APPLIANCE,No problem found,1
702100230,Part Replaced,DOOR,"Cut, broken, split, torn",1
151514003017,Mechanical alignments,DOOR,"Scratched, dented, sharp edges",1
151629006009,Mechanical alignments,DOOR / LID,Unable to diagnose fault,1
151528002394,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Cut, broken, split, torn",1
703080355,Product Installation,NEW APPLIANCE,No problem found,1
503030111,Repaired component,DOOR LOCK,"Blocked, clogged",1
701100089,Repaired component,DOOR,Mechanically misaligned,1
410150119,Part Replaced,CONTROL PANEL,"Scratched, dented, sharp edges",1
151603005442,Functional check,DOOR,Unstable,1
371014700917,Repaired component,HOOK / DOOR-LATCH,"Incorrect wired, assembled",1
151618006296,Part Replaced,CONTROL BOARD / SENSOR BOARD,Short circuit,1
151628006138,Part Replaced,ACCESSORIES,"Cut, broken, split, torn",1
606230032,Product Installation,NEW APPLIANCE,No problem found,1
999999999,Part Replaced,DOOR / LID,"Cut, broken, split, torn",1
371220701098,Part Replaced,CONTROL BOARD / SENSOR BOARD,Software problem,1
611070509,Part Replaced,ACCESSORIES,"Cut, broken, split, torn",1
151707008694,Part Replaced,PILOT LIGHT / LED,Burnt,1
151703005855,Mechanical alignments,CONTROL BOARD / SENSOR BOARD,"Loose, off, stripped",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
Not assigned,Preventive action,DOOR-GLASS,"Incorrect wired, assembled",1
371219305591,Electrical alignment / wiring / Resolder,USER BOARD,Open circuit,1
370952700178,Mechanical alignments,PERFORMANCE COMPLAINT,"Misoperating (component, module)",1
702121232,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
151634006176,Part Replaced,"CAP, PUSHBUTTON","Misoperating (component, module)",1
151547008404,Part Replaced,THERMOSTAT,Short circuit,1
999999999,Part Replaced,FUSE,"Misoperating (component, module)",1
605030445,Electrical alignment / wiring / Resolder,INTERFERENCE-FILTER,"Misoperating (component, module)",1
999999999,Product Installation,NEW APPLIANCE,"Cut, broken, split, torn",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
151617001057,Electrical alignment / wiring / Resolder,DOOR LOCK,"Bad contact, connection",1
305044096,Part Replaced,POWER BOARD,"Scratched, dented, sharp edges",1
601290307,Mechanical alignments,MAIN MOTOR,Noisy,1
151604008343,Part Replaced,POWER BOARD,Burnt,1
371435003367,Part Replaced,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
604072183,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
341604159485,Part Replaced,DOOR,"Misoperating (component, module)",1
371317301884,Part Replaced,WIRING,"Scratched, dented, sharp edges",1
610200155,Functional check,CONTROL BOARD / SENSOR BOARD,No problem found,1
151621007785,Repaired component,OTHERS MECHANICAL,Vibrating,1
151606009299,Mechanical alignments,HINGES,"Incorrect wired, assembled",1
603020474,Product Installation,NEW APPLIANCE,"Misoperating (component, module)",1
510130464,Repaired component,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
712114778,Product Installation,NEW APPLIANCE,Burnt,1
151642000995,Mechanical alignments,MAINS ON / OFF-SWITCH,"Loose, off, stripped",1
151530000642,Electrical alignment / wiring / Resolder,WIRING,"Bad contact, connection",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
421503003511,Product Installation,NEW APPLIANCE,No problem found,1
605020127,Part Replaced,FRAME,"Scratched, dented, sharp edges",1
421532011008,Electrical alignment / wiring / Resolder,CONNECTOR / PLUG,"Incorrect wired, assembled",1
151518003795,Functional check,PERFORMANCE COMPLAINT,"Wet, umid, condensation, sweating",1
111618702503,Part Replaced,TRIM,"Scratched, dented, sharp edges",1
151621006583,Mechanical alignments,IGNITION - SWITCH,Open circuit,1
151614200173,Part Replaced,"PANEL, FRONT","Scratched, dented, sharp edges",1
370717701385,Mechanical alignments,"CAP, PUSHBUTTON","Incorrect wired, assembled",1
151648007434,Product Installation,NEW APPLIANCE,"Misoperating (component, module)",1
151704001689,Mechanical alignments,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151609007800,Part Replaced,USER BOARD,Open circuit,1
151641005382,Functional check,OTHERS MECHANICAL,"Loose, off, stripped",1
999999999,Product Installation,NEW APPLIANCE,No problem found,1
702171321,Electrical alignment / wiring / Resolder,OTHERS ELECTRICAL,"Electrically misaligned, wrong setting",1
604052937,Part Replaced,ACCESSORIES,"Scratched, dented, sharp edges",1
151719005932,Repaired component,CONTROL BOARD / SENSOR BOARD,"Misoperating (component, module)",1
151514008172,Repaired component,OTHERS ELECTRICAL,"Loose, off, stripped",1
407032236,Part Replaced,KNOB,Deformed,1
151611006559,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
151702000430,Part Replaced,DOOR,"Cut, broken, split, torn",1
151715004775,Part Replaced,"FRAME, DOOR-GLASS (OUTER)","Cut, broken, split, torn",1
151634001711,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
703080444,Product exchange proposal,CABINET,"Cut, broken, split, torn",1
501060122,Product exchange proposal,POWER BOARD,Mechanically misaligned,1
301290128,Part Replaced,POWER BOARD,"Misoperating (component, module)",1
221,Part Replaced,ACCESSORIES,"Cut, broken, split, torn",1
999999999,Part Replaced,POWER BOARD,Short circuit,1
151540001809,Mechanical alignments,"MOTOR-FAN, CIRCULATION",Noisy,1
371031700073,Part Replaced,USER BOARD,Open circuit,1
151516004082,Repaired component,OTHERS MECHANICAL,"Misoperating (component, module)",1
151618007464,Electrical alignment / wiring / Resolder,USER BOARD,Faulty mains voltage,1
371118300289,Mechanical alignments,MAIN MOTOR,"Misoperating (component, module)",1
604050384,Product exchange proposal,OTHERS MECHANICAL,"Misoperating (component, module)",1
603161264,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
151549004654,Product exchange proposal,INNER-LINER-CAVITY-TUB,Unable to diagnose fault,1
605270358,Product exchange proposal,CABINET,"Scratched, dented, sharp edges",1
505010401,Part Replaced,POWER BOARD,Short circuit,1
410070028,Product exchange proposal,POWER BOARD,Unable to diagnose fault,1
421441018605,Part Replaced,MAGNETRON,"Misoperating (component, module)",1
609205888,Part Replaced,DOOR,"Scratched, dented, sharp edges",1
151606009293,Part Replaced,HOOK / DOOR-LATCH,"Misoperating (component, module)",1
303080100,#,Not assigned,Not assigned,1
371242700889,Mechanical alignments,PERFORMANCE COMPLAINT,Unable to diagnose fault,1
151445002753,Part Replaced,POWER BOARD,Burnt,1
